stratifications,stratifying_by,n_unsuppressed_estimates,estimate_range,ethnicity,race,sex,education,poverty,FMD_prev_1993,FMD_prev_1993_rank,FMD_prev_2019,FMD_prev_2019_rank,FMD_prev_change_1993_2019,FMD_prev_annual_change,FMD_prev_annual_change_rank,FMD_ineq_abs_1993,FMD_ineq_abs_1993_rank,FMD_ineq_abs_2019,FMD_ineq_abs_2019_rank,FMD_ineq_abs_change_1993_2019,FMD_ineq_abs_annual_change,FMD_ineq_abs_annual_change_rank,FMD_ineq_mult_1993,FMD_ineq_mult_1993_rank,FMD_ineq_mult_2019,FMD_ineq_mult_2019_rank,FMD_ineq_mult_change_1993_2019,FMD_ineq_mult_annual_change,FMD_ineq_mult_annual_change_rank
0,Overall,26,1993-2019,All,All,All,All,All,8.83 (95% CI: 8.49 to 9.16),NA,15.1 (95% CI: 14.8 to 15.3),NA,6.23,0.249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Education,26,1993-2019,All,All,All,>=HS,All,8.15 (95% CI: 7.83 to 8.46),1,14.3 (95% CI: 14 to 14.6),1,6.19,0.238,1,0 (95% CI: 0 to 0),1,0 (95% CI: 0 to 0),100,0,0,1,0 (95% CI: 0 to 0),1,0 (95% CI: 0 to 0),1,0,100,2
1,Education,26,1993-2019,All,All,All,<HS,All,14.3 (95% CI: 12.8 to 16),2,21.5 (95% CI: 20.2 to 22.8),2,7.26,0.279,2,6.12 (95% CI: 4.68 to 7.77),2,7.19 (95% CI: 5.89 to 8.53),200,1.07,0.0411,2,75.1 (95% CI: 56.4 to 96.8),2,50.1 (95% CI: 40.7 to 59.6),2,-25,99.2,1
1,Ethnicity,26,1993-2019,Hispanic,All,All,All,All,10.5 (95% CI: 8.41 to 12.9),2,13.2 (95% CI: 12.2 to 14.3),1,2.75,0.106,1,1.79 (95% CI: -0.355 to 4.27),2,-2.09 (95% CI: -3.28 to -0.983),100,-3.88,-0.149,1,20.6 (95% CI: -4.16 to 48.7),2,-13.6 (95% CI: -21.1 to -6.49),1,-34.2,98.4,1
1,Ethnicity,26,1993-2019,Non-Hispanic,All,All,All,All,8.71 (95% CI: 8.39 to 9.02),1,15.3 (95% CI: 15 to 15.6),2,6.63,0.255,2,0 (95% CI: 0 to 0),1,0 (95% CI: 0 to 0),200,0,0,2,0 (95% CI: 0 to 0),1,0 (95% CI: 0 to 0),2,0,100,2
1,Poverty Status,26,1993-2019,All,All,All,All,Not In Poverty,7.63 (95% CI: 7.35 to 7.93),1,13.1 (95% CI: 12.8 to 13.4),1,5.45,0.21,1,0 (95% CI: 0 to 0),1,0 (95% CI: 0 to 0),100,0,0,1,0 (95% CI: 0 to 0),1,0 (95% CI: 0 to 0),1,0,100,2
1,Poverty Status,26,1993-2019,All,All,All,All,In Poverty,15.7 (95% CI: 14.4 to 17.2),2,24.9 (95% CI: 23.9 to 26),2,9.25,0.356,2,8.06 (95% CI: 6.64 to 9.66),2,11.9 (95% CI: 10.8 to 12.9),200,3.8,0.146,2,106 (95% CI: 86.4 to 129),2,90.7 (95% CI: 81.4 to 99.5),2,-15,99.6,1
1,Race,26,1993-2019,All,White,All,All,All,8.67 (95% CI: 8.32 to 9.02),1,14.9 (95% CI: 14.7 to 15.3),1,6.28,0.242,2,0 (95% CI: 0 to 0),1,0 (95% CI: 0 to 0),100,0,0,2,0 (95% CI: 0 to 0),1,0 (95% CI: 0 to 0),1,0,100,2
1,Race,26,1993-2019,All,Black,All,All,All,10.2 (95% CI: 9.29 to 11.2),2,15.6 (95% CI: 14.8 to 16.5),2,5.45,0.21,1,1.51 (95% CI: 0.627 to 2.52),2,0.686 (95% CI: -0.245 to 1.67),200,-0.829,-0.0319,1,17.5 (95% CI: 7.13 to 29.6),2,4.6 (95% CI: -1.62 to 11.4),2,-12.9,99.4,1
1,Sex,26,1993-2019,All,All,Male,All,All,7.1 (95% CI: 6.61 to 7.54),1,12.5 (95% CI: 12.1 to 12.9),1,5.44,0.209,1,0 (95% CI: 0 to 0),1,0 (95% CI: 0 to 0),100,0,0,1,0 (95% CI: 0 to 0),1,0 (95% CI: 0 to 0),1,0,100,2
1,Sex,26,1993-2019,All,All,Female,All,All,10.5 (95% CI: 10.1 to 11),2,17.5 (95% CI: 17.1 to 18),2,6.99,0.269,2,3.44 (95% CI: 2.77 to 4.16),2,5 (95% CI: 4.4 to 5.57),200,1.56,0.0599,2,48.7 (95% CI: 37.1 to 61.9),2,39.9 (95% CI: 34.4 to 45.6),2,-8.78,99.6,1
2,"Education, Poverty Status",26,1993-2019,All,All,All,>=HS,Not In Poverty,7.33 (95% CI: 7.04 to 7.63),1,12.6 (95% CI: 12.3 to 12.9),1,5.29,0.203,2,0 (95% CI: 0 to 0),1,0 (95% CI: 0 to 0),100,0,0,2,0 (95% CI: 0 to 0),1,0 (95% CI: 0 to 0),1,0,100,4
2,"Education, Poverty Status",26,1993-2019,All,All,All,<HS,Not In Poverty,11.2 (95% CI: 10 to 12.6),2,20.1 (95% CI: 18.2 to 22),2,8.84,0.34,3,3.91 (95% CI: 2.78 to 5.28),2,7.45 (95% CI: 5.51 to 9.36),200,3.55,0.136,3,53.3 (95% CI: 37.3 to 73),2,59.1 (95% CI: 43.3 to 74.4),2,5.74,99.9,2
2,"Education, Poverty Status",26,1993-2019,All,All,All,<HS,In Poverty,18.8 (95% CI: 15.8 to 22.8),4,23.1 (95% CI: 21.3 to 25),3,4.29,0.165,1,11.5 (95% CI: 8.49 to 15.5),4,10.5 (95% CI: 8.54 to 12.4),300,-1,-0.0385,1,157 (95% CI: 115 to 212),4,83.2 (95% CI: 67.1 to 98.4),3,-73.8,98.2,1
2,"Education, Poverty Status",26,1993-2019,All,All,All,>=HS,In Poverty,14.4 (95% CI: 12.9 to 15.7),3,25.7 (95% CI: 24.5 to 26.8),4,11.3,0.436,4,7.03 (95% CI: 5.61 to 8.49),3,13.1 (95% CI: 11.9 to 14.3),400,6.04,0.232,4,96 (95% CI: 75.5 to 117),3,104 (95% CI: 93.1 to 114),4,7.58,100,3
2,"Ethnicity, Education",26,1993-2019,Hispanic,All,All,<HS,All,17.6 (95% CI: 11.4 to 25.9),4,11.6 (95% CI: 9.52 to 13.5),1,-6.05,-0.233,1,9.45 (95% CI: 3.5 to 17.6),4,-2.84 (95% CI: -4.89 to -0.867),100,-12.3,-0.473,1,116 (95% CI: 42.4 to 218),4,-19.7 (95% CI: -33.6 to -6.01),1,-136,95.4,1
2,"Ethnicity, Education",26,1993-2019,Hispanic,All,All,>=HS,All,8.09 (95% CI: 6.52 to 9.79),1,13.9 (95% CI: 12.6 to 15.2),2,5.82,0.224,2,-0.0671 (95% CI: -1.64 to 1.74),1,-0.493 (95% CI: -1.72 to 0.832),200,-0.426,-0.0164,2,-0.769 (95% CI: -19.8 to 21.2),1,-3.42 (95% CI: -11.8 to 5.8),2,-2.65,99.2,2
2,"Ethnicity, Education",26,1993-2019,Non-Hispanic,All,All,>=HS,All,8.15 (95% CI: 7.82 to 8.49),2,14.4 (95% CI: 14.1 to 14.7),3,6.24,0.24,3,0 (95% CI: 0 to 0),2,0 (95% CI: 0 to 0),300,0,0,3,0 (95% CI: 0 to 0),2,0 (95% CI: 0 to 0),3,0,100,3
2,"Ethnicity, Education",26,1993-2019,Non-Hispanic,All,All,<HS,All,13.7 (95% CI: 12.5 to 14.8),3,27.6 (95% CI: 26 to 29.3),4,13.9,0.535,4,5.52 (95% CI: 4.35 to 6.8),3,13.2 (95% CI: 11.6 to 15),400,7.67,0.295,4,67.8 (95% CI: 51.8 to 83.8),3,91.7 (95% CI: 80.4 to 105),4,23.9,100,4
2,"Ethnicity, Poverty Status",26,1993-2019,Hispanic,All,All,All,Not In Poverty,7.58 (95% CI: 6.11 to 9.34),1,12.1 (95% CI: 10.8 to 13.5),1,4.51,0.174,2,-0.0547 (95% CI: -1.65 to 1.74),1,-1.1 (95% CI: -2.42 to 0.243),100,-1.04,-0.04,2,-0.655 (95% CI: -21.2 to 22.7),1,-8.29 (95% CI: -18.5 to 1.86),1,-7.64,99.2,2
2,"Ethnicity, Poverty Status",26,1993-2019,Non-Hispanic,All,All,All,Not In Poverty,7.64 (95% CI: 7.31 to 7.95),2,13.2 (95% CI: 12.9 to 13.5),2,5.55,0.214,3,0 (95% CI: 0 to 0),2,0 (95% CI: 0 to 0),200,0,0,3,0 (95% CI: 0 to 0),2,0 (95% CI: 0 to 0),2,0,100,3
2,"Ethnicity, Poverty Status",26,1993-2019,Hispanic,All,All,All,In Poverty,15.8 (95% CI: 10.7 to 22.6),4,15 (95% CI: 13.4 to 17),3,-0.713,-0.0274,1,8.12 (95% CI: 3.19 to 15),4,1.85 (95% CI: 0.155 to 3.72),300,-6.27,-0.241,1,106 (95% CI: 41.7 to 195),4,14.1 (95% CI: 1.17 to 28.4),3,-92.3,97.2,1
2,"Ethnicity, Poverty Status",26,1993-2019,Non-Hispanic,All,All,All,In Poverty,15.7 (95% CI: 14.4 to 16.9),3,29.6 (95% CI: 28.4 to 30.7),4,13.9,0.534,4,8.04 (95% CI: 6.71 to 9.37),3,16.4 (95% CI: 15.2 to 17.6),400,8.33,0.32,4,105 (95% CI: 86.5 to 124),3,124 (95% CI: 114 to 135),4,18.8,100,4
2,"Ethnicity, Sex",26,1993-2019,Hispanic,All,Male,All,All,10.1 (95% CI: 6.71 to 14.1),2,11.1 (95% CI: 9.88 to 12.6),1,1.04,0.0398,1,3.21 (95% CI: -0.287 to 7.38),2,-1.63 (95% CI: -3.03 to -0.119),100,-4.84,-0.186,1,46.8 (95% CI: -4.11 to 109),2,-12.8 (95% CI: -23.5 to -0.931),1,-59.5,96.7,1
2,"Ethnicity, Sex",26,1993-2019,Non-Hispanic,All,Male,All,All,6.87 (95% CI: 6.47 to 7.26),1,12.7 (95% CI: 12.3 to 13.1),2,5.87,0.226,3,0 (95% CI: 0 to 0),1,0 (95% CI: 0 to 0),200,0,0,3,0 (95% CI: 0 to 0),1,0 (95% CI: 0 to 0),2,0,100,4
2,"Ethnicity, Sex",26,1993-2019,Hispanic,All,Female,All,All,10.9 (95% CI: 8.89 to 13.1),4,15.2 (95% CI: 13.6 to 16.8),3,4.3,0.165,2,4.07 (95% CI: 1.98 to 6.3),4,2.49 (95% CI: 0.891 to 4.07),300,-1.58,-0.0606,2,59.3 (95% CI: 28.5 to 92.5),4,19.6 (95% CI: 6.95 to 31.8),3,-39.7,98.3,2
2,"Ethnicity, Sex",26,1993-2019,Non-Hispanic,All,Female,All,All,10.5 (95% CI: 10 to 11),3,17.9 (95% CI: 17.5 to 18.4),4,7.39,0.284,4,3.64 (95% CI: 3.04 to 4.24),3,5.16 (95% CI: 4.52 to 5.78),400,1.52,0.0583,4,53.1 (95% CI: 42 to 65.4),3,40.5 (95% CI: 34.7 to 46.1),4,-12.6,99.6,3
