stratifications,stratifying_by,n_unsuppressed_estimates,estimate_range,ethnicity,race,sex,education,poverty,FMD_prev_2001,FMD_prev_2001_rank,FMD_prev_2019,FMD_prev_2019_rank,FMD_prev_change_2001_2019,FMD_prev_annual_change,FMD_prev_annual_change_rank,FMD_ineq_abs_2001,FMD_ineq_abs_2001_rank,FMD_ineq_abs_2019,FMD_ineq_abs_2019_rank,FMD_ineq_abs_change_2001_2019,FMD_ineq_abs_annual_change,FMD_ineq_abs_annual_change_rank,FMD_ineq_mult_2001,FMD_ineq_mult_2001_rank,FMD_ineq_mult_2019,FMD_ineq_mult_2019_rank,FMD_ineq_mult_change_2001_2019,FMD_ineq_mult_annual_change,FMD_ineq_mult_annual_change_rank
0,Overall,18,2001-2019,All,All,All,All,All,10.3 (95% CI: 8.67 to 11.7),NA,13.6 (95% CI: 11.9 to 15.2),NA,3.35,0.197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Education,18,2001-2019,All,All,All,>=HS,All,9.55 (95% CI: 7.97 to 11),1,13 (95% CI: 11.4 to 14.5),1,3.5,0.183,2,-0.473 (95% CI: -2.1 to 1.03),1,-1.29 (95% CI: -2.96 to 0),100,-0.818,-0.0732,2,-4.7 (95% CI: -20.8 to 10),1,-9 (95% CI: -20.5 to 0),1,-4.31,-0.504,2
1,Education,18,2001-2019,All,All,All,<HS,All,16.1 (95% CI: 11.2 to 22.6),2,19.4 (95% CI: 15.2 to 22.8),2,3.3,0.1,1,6.09 (95% CI: 1.17 to 12.3),2,5.08 (95% CI: 0.738 to 8.45),200,-1.02,-0.157,1,60.8 (95% CI: 11.6 to 123),2,35.4 (95% CI: 5.1 to 59.2),2,-25.4,-2.49,1
1,Ethnicity,18,2001-2019,Non-Hispanic,All,All,All,All,9.46 (95% CI: 7.75 to 10.7),1,13.1 (95% CI: 11.2 to 15.5),1,3.68,0.175,2,-1.06 (95% CI: -2.86 to 0.0977),1,-2.2 (95% CI: -4.19 to 0),100,-1.14,-0.106,2,-10.1 (95% CI: -27 to 0.944),1,-14.3 (95% CI: -27.2 to 0),1,-4.25,-0.622,2
1,Ethnicity,18,2001-2019,Hispanic,All,All,All,All,15.2 (95% CI: 10 to 22.9),2,16.6 (95% CI: 12.6 to 21.3),2,1.41,0.143,1,4.68 (95% CI: -0.491 to 12.5),2,1.28 (95% CI: -2.79 to 6.02),200,-3.4,-0.138,1,44.6 (95% CI: -4.7 to 119),2,8.37 (95% CI: -18.2 to 38.8),2,-36.2,-1.53,1
1,Poverty Status,18,2001-2019,All,All,All,All,Not In Poverty,8.35 (95% CI: 6.6 to 9.84),1,11.9 (95% CI: 10.3 to 13.3),1,3.51,0.158,2,-1.26 (95% CI: -3.11 to 0),1,-1.22 (95% CI: -2.81 to 0),100,0.0409,-0.0544,2,-13.1 (95% CI: -32.4 to 0),1,-9.33 (95% CI: -21.3 to 0),1,3.79,-0.374,2
1,Poverty Status,18,2001-2019,All,All,All,All,In Poverty,19 (95% CI: 14.6 to 24.5),2,20 (95% CI: 15.5 to 25.6),2,0.945,0.1,1,9.42 (95% CI: 4.96 to 14.9),2,6.89 (95% CI: 2.35 to 12.5),200,-2.53,-0.113,1,98.1 (95% CI: 50.8 to 155),2,52.7 (95% CI: 17.8 to 96.4),2,-45.4,-2.37,1
1,Race,18,2001-2019,All,Asian,All,All,All,6.33 (95% CI: 4.57 to 8.56),1,10.6 (95% CI: 9.18 to 12.1),1,4.27,0.199,2,-4.16 (95% CI: -6.02 to -1.99),1,-4.35 (95% CI: -5.84 to -2.87),100,-0.185,-0.0675,2,-39.7 (95% CI: -57.2 to -19.1),1,-29.1 (95% CI: -39 to -19.1),1,10.6,0.0927,3
1,Race,18,2001-2019,All,White,All,All,All,10.5 (95% CI: 10.1 to 10.8),3,14.9 (95% CI: 14.7 to 15.3),2,4.45,0.267,3,0 (95% CI: 0 to 0),3,0 (95% CI: 0 to 0),200,0,0,3,0 (95% CI: 0 to 0),3,0 (95% CI: 0 to 0),2,0,0,2
1,Race,18,2001-2019,All,NAAN,All,All,All,17 (95% CI: 14.1 to 20.3),4,18.9 (95% CI: 17 to 21.1),3,1.9,0.108,1,6.5 (95% CI: 3.64 to 9.88),4,3.94 (95% CI: 2 to 6.11),300,-2.56,-0.159,1,62 (95% CI: 34.5 to 96.2),4,26.4 (95% CI: 13.2 to 41),3,-35.6,-2.2,1
1,Race,18,2001-2019,All,NHPI,All,All,All,8.33 (95% CI: 4.71 to 12.6),2,21.6 (95% CI: 15.3 to 30),4,13.3,0.745,4,-2.17 (95% CI: -5.74 to 2.2),2,6.69 (95% CI: 0.517 to 15.2),400,8.86,0.478,4,-20.6 (95% CI: -55.3 to 21.1),2,44.8 (95% CI: 3.41 to 102),4,65.4,3.44,4
1,Sex,18,2001-2019,All,All,Male,All,All,8.82 (95% CI: 7.04 to 11),1,11.2 (95% CI: 9.46 to 12.8),1,2.36,0.112,1,0.228 (95% CI: -1.59 to 2.47),1,-1.35 (95% CI: -3.11 to 0),100,-1.58,-0.116,1,2.73 (95% CI: -19 to 29),1,-10.8 (95% CI: -24.8 to 0),1,-13.5,-1.06,1
1,Sex,18,2001-2019,All,All,Female,All,All,11.9 (95% CI: 9.68 to 13.8),2,16.2 (95% CI: 13.7 to 17.9),2,4.25,0.22,2,3.36 (95% CI: 1.07 to 5.22),2,3.66 (95% CI: 1.13 to 5.49),200,0.308,-0.00801,2,39.2 (95% CI: 12.6 to 61.6),2,29.3 (95% CI: 8.9 to 44.6),2,-9.92,-0.866,2
2,"Education, Poverty Status",18,2001-2019,All,All,All,>=HS,Not In Poverty,7.82 (95% CI: 6.07 to 9.44),1,11.6 (95% CI: 10.1 to 12.8),1,3.8,0.178,3,-1.38 (95% CI: -3.23 to 0),1,-0.999 (95% CI: -2.5 to 0),100,0.386,-0.0325,3,-15 (95% CI: -34.6 to 0),1,-7.91 (95% CI: -19.9 to 0),1,7.1,-0.187,4
2,"Education, Poverty Status",18,2001-2019,All,All,All,<HS,Not In Poverty,14.8 (95% CI: 7.95 to 24.1),2,16.3 (95% CI: 10.3 to 21.5),2,1.51,-0.0451,1,5.56 (95% CI: -1.39 to 14.9),2,3.66 (95% CI: -2.2 to 8.95),200,-1.9,-0.255,1,60.4 (95% CI: -14.7 to 161),2,29 (95% CI: -17.6 to 71.4),2,-31.4,-3.53,1
2,"Education, Poverty Status",18,2001-2019,All,All,All,>=HS,In Poverty,19.4 (95% CI: 13.6 to 26.3),4,19.6 (95% CI: 14.3 to 26.4),3,0.149,0.0908,2,10.2 (95% CI: 4.29 to 17.2),4,6.96 (95% CI: 1.67 to 13.8),300,-3.26,-0.12,2,111 (95% CI: 46.2 to 188),4,55.2 (95% CI: 13.3 to 110),3,-55.9,-2.59,2
2,"Education, Poverty Status",18,2001-2019,All,All,All,<HS,In Poverty,18 (95% CI: 10.9 to 26.6),3,21.9 (95% CI: 16.3 to 27),4,3.82,0.18,4,8.82 (95% CI: 1.63 to 17.4),3,9.24 (95% CI: 3.57 to 14.4),400,0.414,-0.0306,4,95.9 (95% CI: 17.7 to 188),3,73.2 (95% CI: 28.5 to 114),4,-22.6,-2.06,3
2,"Ethnicity, Education",18,2001-2019,Non-Hispanic,All,All,>=HS,All,8.6 (95% CI: 6.86 to 10.1),1,12.5 (95% CI: 10.6 to 14.6),1,3.88,0.189,3,-1.27 (95% CI: -3.05 to 0),1,-1.91 (95% CI: -3.8 to 0),100,-0.641,-0.0758,3,-12.8 (95% CI: -30.5 to 0),1,-13.2 (95% CI: -26.3 to 0),1,-0.435,-0.412,3
2,"Ethnicity, Education",16,2004-2019,Hispanic,All,All,<HS,All,NA,NA,13.8 (95% CI: 8.74 to 21.2),2,NA,0.234,4,NA,NA,-0.6 (95% CI: -5.62 to 6.86),200,NA,-0.0459,4,NA,NA,-4.16 (95% CI: -38.8 to 47.8),2,NA,-0.337,4
2,"Ethnicity, Education",18,2001-2019,Hispanic,All,All,>=HS,All,17.8 (95% CI: 10.4 to 27.9),2,17.5 (95% CI: 13 to 22.9),3,-0.238,0.121,2,7.89 (95% CI: 0.498 to 18),2,3.13 (95% CI: -1.37 to 8.68),300,-4.76,-0.144,2,80 (95% CI: 5.02 to 183),2,21.7 (95% CI: -9.56 to 60.5),3,-58.3,-2.04,2
2,"Ethnicity, Education",18,2001-2019,Non-Hispanic,All,All,<HS,All,20 (95% CI: 13.5 to 28.7),3,22.8 (95% CI: 16.8 to 28.8),4,2.86,0.0366,1,10.1 (95% CI: 3.55 to 18.9),3,8.46 (95% CI: 2.36 to 14.4),400,-1.67,-0.228,1,103 (95% CI: 35.6 to 191),3,58.8 (95% CI: 16.4 to 100),4,-43.8,-3.88,1
2,"Ethnicity, Poverty Status",18,2001-2019,Non-Hispanic,All,All,All,Not In Poverty,7.72 (95% CI: 5.82 to 9.64),1,11.4 (95% CI: 9.55 to 13.4),1,3.67,0.158,2,-1.73 (95% CI: -3.57 to 0),1,-1.8 (95% CI: -3.67 to 0),100,-0.0697,-0.0658,2,-18.3 (95% CI: -38.2 to 0),1,-13.6 (95% CI: -27.7 to 0),1,4.66,-0.381,4
2,"Ethnicity, Poverty Status",18,2001-2019,Hispanic,All,All,All,Not In Poverty,13.7 (95% CI: 8 to 21.4),2,16 (95% CI: 11.3 to 21.8),2,2.36,0.182,3,4.23 (95% CI: -1.43 to 11.9),2,2.85 (95% CI: -1.94 to 8.49),200,-1.38,-0.0417,3,44.8 (95% CI: -15.1 to 125),2,21.6 (95% CI: -14.6 to 64.5),2,-23.2,-0.958,2
2,"Ethnicity, Poverty Status",16,2001-2019,Hispanic,All,All,All,In Poverty,17.9 (95% CI: 8.99 to 32.1),3,17.4 (95% CI: 12.3 to 25.4),3,-0.415,0.252,4,8.41 (95% CI: -0.482 to 22.7),3,4.26 (95% CI: -0.952 to 12.2),300,-4.15,-0.00384,4,89.1 (95% CI: -5.08 to 241),3,32.3 (95% CI: -7.16 to 91.3),3,-56.8,-0.915,3
